nama_organisasi,kode_jabatan,kelompok_jabatan,bod_level,nama_jabatan,id_jobfamily,komoditas
SUPP,SUPH00001,head of PMO (Sub Holding),1,Head Of PMN,34,
SUPP,SUPH00002,Kepala Divisi (Sub Holding),1,Kepala Divisi  Hubungan Kelembagaan dan TJSL,15,
SUPP,SUPH00003,Kepala Divisi (Sub Holding),1,Kepala Divisi Akuntansi dan Perpajakan,15,
SUPP,SUPH00004,Kepala Divisi (Sub Holding),1,Kepala Divisi Hukum,16,
SUPP,SUPH00005,Kepala Divisi (Sub Holding),1,Kepala Divisi Inovasi dan Pengembangan Bisnis,17,
SUPP,SUPH00006,Kepala Divisi (Sub Holding),1,Kepala Divisi Komoditi Aneka Tanaman,18,
SUPP,SUPH00007,Kepala Divisi (Sub Holding),1,Kepala Divisi Komoditi Sawit dan Karet,18,
SUPP,SUPH00008,Kepala Divisi (Sub Holding),1,Kepala Divisi Komoditi Tebu,18,
SUPP,SUPH00009,Kepala Divisi (Sub Holding),1,Kepala Divisi Manajemen dan Optimalisasi Aset I,17,
SUPP,SUPH00010,Kepala Divisi (Sub Holding),1,Kepala Divisi Manajemen dan Optimalisasi Aset II,17,
SUPP,SUPH00011,Kepala Divisi (Sub Holding),1,Kepala Divisi Manajemen Risiko dan Sustainability,16,
SUPP,SUPH00012,Kepala Divisi (Sub Holding),1,Kepala Divisi Operasional SDM dan General Affair,15,
SUPP,SUPH00013,Kepala Divisi (Sub Holding),1,Kepala Divisi Pengadaan dan Teknologi Informasi,15,
SUPP,SUPH00014,Kepala Divisi (Sub Holding),1,Kepala Divisi Pengembangan SDM dan Budaya Perusahaan,15,
SUPP,SUPH00015,Kepala Divisi (Sub Holding),1,Kepala Divisi Perbendaharaan Anggaran dan Keuangan,13,
SUPP,SUPH00016,Kepala Divisi (Sub Holding),1,Kepala Divisi Portofolio dan Strategi Korporasi,17,
SUPP,SUPH00017,Kepala Divisi (Sub Holding),1,Kepala Divisi Satuan Pengawasan Intern,16,
SUPP,SUPH00018,Kepala Divisi (Sub Holding),1,Kepala Divisi Sekretariat Perusahaan,15,
SUPP,SUPH00019,head of PMO (Sub Holding),1,Lead STO/PMO,34,
SUPP,SUPH00020,Co Head/Co Lead/Lead (Sub Holding),2,Co Lead STO,34,
SUPP,SUPH00021,Co Head/Co Lead/Lead (Sub Holding),2,Deputy Project Manajer PMN,34,
SUPP,SUPH00022,Kepala Sub Divisi (Sub Holding),2,"Kepala Sub Divisi Administrasi, Pemetaan, Pemeliharaan dan KSO Aneka Tanaman",18,
SUPP,SUPH00023,Kepala Sub Divisi (Sub Holding),2,Kepala Sub Divisi Agraria dan Pemetaan,16,
SUPP,SUPH00024,Kepala Sub Divisi (Sub Holding),2,Kepala Sub Divisi Akuntansi dan Pelaporan,13,
SUPP,SUPH00025,Kepala Sub Divisi (Sub Holding),2,Kepala Sub Divisi HPS dan Informasi Harga,15,
SUPP,SUPH00026,Kepala Sub Divisi (Sub Holding),2,Kepala Sub Divisi Hubungan Kelembagaan,15,
SUPP,SUPH00027,Kepala Sub Divisi (Sub Holding),2,Kepala Sub Divisi Hukum dan Peraturan Perusahaan,16,
SUPP,SUPH00028,Kepala Sub Divisi (Sub Holding),2,Kepala Sub Divisi Hukum Litigasi dan Non Litigasi,16,
SUPP,SUPH00029,Kepala Sub Divisi (Sub Holding),2,Kepala Sub Divisi Kas dan Bank,13,
SUPP,SUPH00030,Kepala Sub Divisi (Sub Holding),2,Kepala Sub Divisi Kemitraan KSO Kelapa Sawit,18,
SUPP,SUPH00031,Kepala Sub Divisi (Sub Holding),2,Kepala Sub Divisi Komoditi Aneka Tanaman,18,
SUPP,SUPH00032,Kepala Sub Divisi (Sub Holding),2,Kepala Sub Divisi Komunikasi Perusahaan,15,
SUPP,SUPH00033,Kepala Sub Divisi (Sub Holding),2,Kepala Sub Divisi Logistik,15,
SUPP,SUPH00034,Kepala Sub Divisi (Sub Holding),2,Kepala Sub Divisi Manajemen Audit,16,
SUPP,SUPH00035,Kepala Sub Divisi (Sub Holding),2,Kepala Sub Divisi Manajemen Kinerja Anak Perusahaan,17,
SUPP,SUPH00036,Kepala Sub Divisi (Sub Holding),2,Kepala Sub Divisi Manajemen Kinerja Korporasi,15,
SUPP,SUPH00037,Kepala Sub Divisi (Sub Holding),2,Kepala Sub Divisi Manajemen Risiko,16,
SUPP,SUPH00038,Kepala Sub Divisi (Sub Holding),2,Kepala Sub Divisi Manajemen Talenta dan Perencanaan Tenaga Kerja,15,
SUPP,SUPH00039,Kepala Sub Divisi (Sub Holding),2,Kepala Sub Divisi Operasional Aneka Tanaman,18,
SUPP,SUPH00040,Kepala Sub Divisi (Sub Holding),2,Kepala Sub Divisi Operasional Tanaman Komoditi Karet,18,
SUPP,SUPH00041,Kepala Sub Divisi (Sub Holding),2,Kepala Sub Divisi Operasional Tebu,18,
SUPP,SUPH00042,Kepala Sub Divisi (Sub Holding),2,Kepala Sub Divisi Operasional TI dan ERP,15,
SUPP,SUPH00043,Kepala Sub Divisi (Sub Holding),2,Kepala Sub Divisi Pemasaran Komoditi dan Ritel,14,
SUPP,SUPH00044,Kepala Sub Divisi (Sub Holding),2,Kepala Sub Divisi Pengadaan,15,
SUPP,SUPH00045,Kepala Sub Divisi (Sub Holding),2,Kepala Sub Divisi Pengelolaan Bisnis Aset I,17,
SUPP,SUPH00046,Kepala Sub Divisi (Sub Holding),2,Kepala Sub Divisi Pengelolaan Bisnis Aset II,17,
SUPP,SUPH00047,Kepala Sub Divisi (Sub Holding),2,Kepala Sub Divisi Pengembangan Organisasi dan Budaya,15,
SUPP,SUPH00048,Kepala Sub Divisi (Sub Holding),2,Kepala Sub Divisi Pengembangan SDM dan Manajemen Kinerja,15,
SUPP,SUPH00049,Kepala Sub Divisi (Sub Holding),2,Kepala Sub Divisi Perbendaharaan dan Anggaran,13,
SUPP,SUPH00050,Kepala Sub Divisi (Sub Holding),2,Kepala Sub Divisi Perencanaan dan Pengembangan Bisnis Aset,17,
SUPP,SUPH00051,Kepala Sub Divisi (Sub Holding),2,Kepala Sub Divisi Perencanaan dan Pengembangan Bisnis Tanaman,17,
SUPP,SUPH00052,Kepala Sub Divisi (Sub Holding),2,Kepala Sub Divisi Perencanaan Strategi Korporasi,17,
SUPP,SUPH00053,Kepala Sub Divisi (Sub Holding),2,Kepala Sub Divisi Perizinan dan Divestasi Aset ,16,
SUPP,SUPH00054,Kepala Sub Divisi (Sub Holding),2,Kepala Sub Divisi Perpajakan dan Asuransi,13,
SUPP,SUPH00055,Kepala Sub Divisi (Sub Holding),2,Kepala Sub Divisi Personalia dan Remunerasi,15,
SUPP,SUPH00056,Kepala Sub Divisi (Sub Holding),2,Kepala Sub Divisi Portofolio Anak Perusahaan,17,
SUPP,SUPH00057,Kepala Sub Divisi (Sub Holding),2,"Kepala Sub Divisi Proteksi, Pemupukan dan Hama Penyakit Komoditi Karet",18,
SUPP,SUPH00058,Kepala Sub Divisi (Sub Holding),2,Kepala Sub Divisi Sekretariat dan GCG,15,
SUPP,SUPH00059,Kepala Sub Divisi (Sub Holding),2,Kepala Sub Divisi Sistem Manajemen dan Sustainability,16,
SUPP,SUPH00060,Kepala Sub Divisi (Sub Holding),2,Kepala Sub Divisi Tata Kelola dan Pengembangan TI,15,
SUPP,SUPH00061,Kepala Sub Divisi (Sub Holding),2,Kepala Sub Divisi Teknik dan Infrastruktur,19,
SUPP,SUPH00062,Kepala Sub Divisi (Sub Holding),2,Kepala Sub Divisi TJSL,15,
SUPP,SUPH00063,Kepala Sub Divisi (Sub Holding),2,Kepala Sub Divisi Umum,15,
SUPP,SUPH00064,Ketua tim  (Sub Holding),2,Ketua Tim Audit,16,
SUPP,SUPH00065,Co Head/Co Lead/Lead (Sub Holding),2,Tim PMN,34,
SUPP,SUPH00066,Co Head/Co Lead/Lead (Sub Holding),2,Tim STO (Setingkat BRM-2),34,
SUPP,SUPH00067,Asisten Holding/Sub Holding/Regional,3,Asisten Admin dan Monitoring Pengadaan,15,
SUPP,SUPH00068,Asisten Holding/Sub Holding/Regional,3,Asisten Administrasi dan Pemetaan Aneka Tanaman,18,
SUPP,SUPH00069,Asisten Holding/Sub Holding/Regional,3,Asisten Administrasi dan Pemetaan Tanaman Karet,18,
SUPP,SUPH00070,Asisten Holding/Sub Holding/Regional,3,Asisten Administrasi dan Pemetaan Tanaman Tebu,18,
SUPP,SUPH00071,Asisten Holding/Sub Holding/Regional,3,Asisten Administrasi KSO Aneka Tanaman,18,
SUPP,SUPH00072,Asisten Holding/Sub Holding/Regional,3,Asisten Administrasi KSO Tebu,18,
SUPP,SUPH00073,Asisten Holding/Sub Holding/Regional,3,Asisten Agraria,16,
SUPP,SUPH00074,Asisten Holding/Sub Holding/Regional,3,Asisten Analisa Laporan Keuangan,13,
SUPP,SUPH00075,Asisten Holding/Sub Holding/Regional,3,Asisten Asuransi,13,
SUPP,SUPH00076,Asisten Holding/Sub Holding/Regional,3,Asisten Auditor,16,
SUPP,SUPH00077,Asisten Holding/Sub Holding/Regional,3,Asisten Budaya Perusahaan,15,
SUPP,SUPH00078,Asisten Holding/Sub Holding/Regional,3,Asisten ERP,15,
SUPP,SUPH00079,Asisten Holding/Sub Holding/Regional,3,Asisten HPS dan Informasi Harga,15,
SUPP,SUPH00080,Asisten Holding/Sub Holding/Regional,3,Asisten Hubungan Industrial dan Pensiun,15,
SUPP,SUPH00081,Asisten Holding/Sub Holding/Regional,3,Asisten Hubungan Kelembagaan Governance,15,
SUPP,SUPH00082,Asisten Holding/Sub Holding/Regional,3,Asisten Hubungan Kelembagaan Non Governance,15,
SUPP,SUPH00083,Asisten Holding/Sub Holding/Regional,3,Asisten Hukum dan Peraturan Perusahaan,16,
SUPP,SUPH00084,Asisten Holding/Sub Holding/Regional,3,Asisten Kajian Risiko,16,
SUPP,SUPH00085,Asisten Holding/Sub Holding/Regional,3,Asisten Kartografi,18,
SUPP,SUPH00086,Asisten Holding/Sub Holding/Regional,3,Asisten Kas dan Bank,13,
SUPP,SUPH00087,Asisten Holding/Sub Holding/Regional,3,Asisten Kesekretariatan dan Support Organ Korporasi,15,
SUPP,SUPH00088,Asisten Holding/Sub Holding/Regional,3,Asisten Kesekretariatan dan Support Organ Korporasi (PA Direktur Utama),15,
SUPP,SUPH00089,Asisten Holding/Sub Holding/Regional,3,Asisten Komunikasi Perusahaan,15,
SUPP,SUPH00090,Asisten Holding/Sub Holding/Regional,3,Asisten Konsolidasi Laporan Keuangan,13,
SUPP,SUPH00091,Asisten Holding/Sub Holding/Regional,3,Asisten Litigasi,16,
SUPP,SUPH00092,Asisten Holding/Sub Holding/Regional,3,Asisten Logistik,15,
SUPP,SUPH00093,Asisten Holding/Sub Holding/Regional,3,Asisten Manajemen Aset Agrowisata I,17,
SUPP,SUPH00094,Asisten Holding/Sub Holding/Regional,3,Asisten Manajemen Aset Agrowisata II,17,
SUPP,SUPH00095,Asisten Holding/Sub Holding/Regional,3,Asisten Manajemen Aset Kawasan dan Properti I,17,
SUPP,SUPH00096,Asisten Holding/Sub Holding/Regional,3,Asisten Manajemen Aset Kawasan dan Properti II,17,
SUPP,SUPH00097,Asisten Holding/Sub Holding/Regional,3,"Asisten Manajemen Aset Tanaman, Energi/Tambang I",17,
SUPP,SUPH00098,Asisten Holding/Sub Holding/Regional,3,"Asisten Manajemen Aset, Tanaman, dan Energi/ Tambang II",17,
SUPP,SUPH00099,Asisten Holding/Sub Holding/Regional,3,Asisten Manajemen Audit,16,
SUPP,SUPH00100,Asisten Holding/Sub Holding/Regional,3,Asisten Manajemen Kinerja Anak Perusahaan,17,
SUPP,SUPH00101,Asisten Holding/Sub Holding/Regional,3,Asisten Manajemen Kinerja Karyawan,15,
SUPP,SUPH00102,Asisten Holding/Sub Holding/Regional,3,Asisten Manajemen Kinerja Korporasi,15,
SUPP,SUPH00103,Asisten Holding/Sub Holding/Regional,3,Asisten Manajemen Talenta,15,
SUPP,SUPH00104,Asisten Holding/Sub Holding/Regional,3,Asisten Monitoring Audit dan WBS,16,
SUPP,SUPH00105,Asisten Holding/Sub Holding/Regional,3,Asisten Monitoring Risiko,16,
SUPP,SUPH00106,Asisten Holding/Sub Holding/Regional,3,Asisten Non Litigasi,16,
SUPP,SUPH00107,Asisten Holding/Sub Holding/Regional,3,Asisten Operasional Komoditi Kopi,18,
SUPP,SUPH00108,Asisten Holding/Sub Holding/Regional,3,Asisten Operasional TI,15,
SUPP,SUPH00109,Asisten Holding/Sub Holding/Regional,3,Asisten Pajak,13,
SUPP,SUPH00110,Asisten Holding/Sub Holding/Regional,3,Asisten Pelaksanaan TJSL dan Pembinaan UMK,15,
SUPP,SUPH00111,Asisten Holding/Sub Holding/Regional,3,Asisten Pemasaran Aneka Tanaman,18,
SUPP,SUPH00112,Asisten Holding/Sub Holding/Regional,3,Asisten Pemasaran Karet dan Kopi,14,
SUPP,SUPH00113,Asisten Holding/Sub Holding/Regional,3,Asisten Pemasaran Ritel,14,
SUPP,SUPH00114,Asisten Holding/Sub Holding/Regional,3,Asisten Pemasaran Teh,14,
SUPP,SUPH00115,Asisten Holding/Sub Holding/Regional,3,Asisten Pembelian Bahan Baku,33,
SUPP,SUPH00116,Asisten Holding/Sub Holding/Regional,3,Asisten Pemeliharaan dan Proteksi Tanaman Karet,18,
SUPP,SUPH00117,Asisten Holding/Sub Holding/Regional,3,"Asisten Pemeliharaan, Pemupukan dan Proteksi Tanaman Tebu",18,
SUPP,SUPH00118,Asisten Holding/Sub Holding/Regional,3,Asisten Pemupukan Tanaman Karet,18,
SUPP,SUPH00119,Asisten Holding/Sub Holding/Regional,3,Asisten Pendanaan Eksternal,13,
SUPP,SUPH00120,Asisten Holding/Sub Holding/Regional,3,Asisten Pengadaan,15,
SUPP,SUPH00121,Asisten Holding/Sub Holding/Regional,3,Asisten Penganggaran dan Pelaporan TJSL,15,
SUPP,SUPH00122,Asisten Holding/Sub Holding/Regional,3,Asisten Pengawasan Anggaran,13,
SUPP,SUPH00123,Asisten Holding/Sub Holding/Regional,3,Asisten Pengawasan dan Strategi KSO Kelapa Sawit,18,
SUPP,SUPH00124,Asisten Holding/Sub Holding/Regional,3,Asisten Pengelolaan PMN,34,
SUPP,SUPH00125,Asisten Holding/Sub Holding/Regional,3,Asisten Pengembangan Bisnis Aset,17,
SUPP,SUPH00126,Asisten Holding/Sub Holding/Regional,3,Asisten Pengembangan Bisnis Tanaman,17,
SUPP,SUPH00127,Asisten Holding/Sub Holding/Regional,3,Asisten Pengembangan Organisasi,15,
SUPP,SUPH00128,Asisten Holding/Sub Holding/Regional,3,Asisten Pengembangan SDM,15,
SUPP,SUPH00129,Asisten Holding/Sub Holding/Regional,3,Asisten Pengembangan TI,15,
SUPP,SUPH00130,Asisten Holding/Sub Holding/Regional,3,Asisten Pengolahan Komoditi Teh,19,
SUPP,SUPH00131,Asisten Holding/Sub Holding/Regional,3,Asisten Perencanaan Anggaran,13,
SUPP,SUPH00132,Asisten Holding/Sub Holding/Regional,3,Asisten Perencanaan dan Pengawasan Sipil dan Traksi,19,
SUPP,SUPH00133,Asisten Holding/Sub Holding/Regional,3,Asisten Perencanaan dan Pengawasan Teknik,19,
SUPP,SUPH00134,Asisten Holding/Sub Holding/Regional,3,Asisten Perencanaan Strategi  Korporasi,17,
SUPP,SUPH00135,Asisten Holding/Sub Holding/Regional,3,Asisten Perencanaan Tenaga Kerja dan Rekrutmen,15,
SUPP,SUPH00136,Asisten Holding/Sub Holding/Regional,3,Asisten Perizinan dan Divestasi Aset,16,
SUPP,SUPH00137,Asisten Holding/Sub Holding/Regional,3,Asisten Personalia dan HRIS,15,
SUPP,SUPH00138,Asisten Holding/Sub Holding/Regional,3,Asisten PMN,34,
SUPP,SUPH00139,Asisten Holding/Sub Holding/Regional,3,Asisten Portofolio Anak Perusahaan,17,
SUPP,SUPH00140,Asisten Holding/Sub Holding/Regional,3,Asisten Produksi Komoditi Teh,18,
SUPP,SUPH00141,Asisten Holding/Sub Holding/Regional,3,Asisten Produksi Pengolahan Komoditi Karet,19,
SUPP,SUPH00142,Asisten Holding/Sub Holding/Regional,3,Asisten Produksi Tanaman Karet,18,
SUPP,SUPH00143,Asisten Holding/Sub Holding/Regional,3,"Asisten Produksi Tembakau, Kayu dan Aneka Tanaman",18,
SUPP,SUPH00144,Asisten Holding/Sub Holding/Regional,3,Asisten Remunerasi,15,
SUPP,SUPH00145,Asisten Holding/Sub Holding/Regional,3,Asisten Sistem Manajemen,16,
SUPP,SUPH00146,Asisten Holding/Sub Holding/Regional,3,Asisten Sustainability ESG dan Sertifikasi,16,
SUPP,SUPH00147,Asisten Holding/Sub Holding/Regional,3,Asisten Tata Kelola TI,15,
SUPP,SUPH00148,Asisten Holding/Sub Holding/Regional,3,Asisten Teknik Sipil dan Infrastruktur,19,
SUPP,SUPH00149,Asisten Holding/Sub Holding/Regional,3,Asisten Umum dan Urta,15,
SUPP,SUPH00150,Asisten Holding/Sub Holding/Regional,3,Asisten Verifikasi,13,
SUPP,SUPH00151,Asisten Holding/Sub Holding/Regional,3,STO Bidang Bidang Aset,34,
SUPP,SUPH00152,Asisten Holding/Sub Holding/Regional,3,STO Bidang Keuangan,34,
SUPP,SUPH00153,Asisten Holding/Sub Holding/Regional,3,STO Bidang Operasional & Pengadaan,34,
SUPP,SUPH00154,Asisten Holding/Sub Holding/Regional,3,STO Bidang Operasional dan Pengadaan,34,
SUPP,SUPH00155,Asisten Holding/Sub Holding/Regional,3,STO Bidang Operasional Non Sawit,34,
SUPP,SUPH00156,Asisten Holding/Sub Holding/Regional,3,STO Bidang Pemasaran,34,
SUPP,SUPH00157,Asisten Holding/Sub Holding/Regional,3,STO Bidang SDM & Rensus,34,
SUPP,SUPH00158,Asisten Holding/Sub Holding/Regional,3,Tim STO (Setingkat BRM-3),34,
SUPP,SUPR00001,Kepala Bagian (Region Office),1,Kepala Bagian Manajemen Aset dan Pemasaran,17,
SUPP,SUPR00002,Kepala Bagian (Region Office),1,Kepala Bagian Manajemen Aset,17,
SUPP,SUPR00046,Grup Manager  (Unit/Distrik/Cluster),1,Group Manager Management Aset,17,
SUPP,SUPR00047,Grup Manager  (Unit/Distrik/Cluster),1,Group Manager Teh Off Farm,33,
SUPP,SUPR00048,Grup Manager  (Unit/Distrik/Cluster),1,Group Manager Teh On Farm,18,
SUPP,SUPR00003,Kepala Bagian (Region Office),1,Kepala Bagian Akuntansi dan Keuangan,13,
SUPP,SUPR00004,Kepala Bagian (Region Office),1,Kepala Bagian Tanaman,33,
SUPP,SUPR00005,Kepala Bagian (Region Office),1,Kepala Bagian Tanaman dan Teknik Pengolahan,33,
SUPP,SUPR00006,Kepala Bagian (Region Office),1,Kepala Bagian Teknik dan Pengolahan,19,
SUPP,SUPR00007,Kepala Bagian (Region Office),1,Kepala Bagian Pengadaan dan Teknologi Informasi,15,
SUPP,SUPR00042,Pimpinan Proyek PMN (Region Office),1,Pimpinan Proyek PMN,34,
SUPP,SUPR00043,head of PMO (Region Office),1,Project Manager Kawasan,17,
